stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,stop_timezone,wheelchair_boarding,platform_code
155560,155560,Massena Hospital - Massena,,44.936792,-74.909169,,0,,0,
155575,155575,Massena Housing Authority-Massena,,44.927094,-74.871689,,0,,0,
155558,155558,Massena Public Library - Massena,,44.93085,-74.891233,,0,,0,
155638,155638,McCormick Rd & Center Rd - Oswegatchie,,44.605955,-75.585547,,0,,0,
155626,155626,Middle Road & McCormick Road - Oswegatchie,,44.583268,-75.555874,,0,,0,
155625,155625,MILC - Massena,,44.934355,-74.885246,,0,,0,
156719,156719,Mill Yard Estates - Parishville,,44.631028,-74.813783,,0,,0,
155613,155613,Miller Campus Center SUNY - Canton,,44.603848,-75.182608,,0,,0,
155599,155599,Municipal Building - Norwood,,44.749488,-74.993835,,0,,0,
155652,155652,Munson St Covered Stop - Potsdam,,44.671458,-74.984731,,0,,0,
155547,155547,Norfolk Primary Care Center - Norfolk,,44.801305,-74.992327,,0,,0,
155578,155578,Northwood Manor - Ogdensburg,,44.726293,-75.453125,,0,,0,
155646,155646,Old Snell Hall - Potsdam,,44.66879,-74.981389,,0,,0,
155550,155550,Oxshire Creamery-Depeyster,,44.524931,-75.411287,,0,,0,
155561,155561,Parkview Rise-Ogdensburg,,44.699221,-75.478493,,0,,0,
155571,155571,Peru Street & SH11B - Lawrenceville,,44.728428,-74.611761,,0,,0,
155616,155616,Police Activities League - Massena,,44.931923,-74.87174,,0,,0,
155546,155546,Price Chopper-Gouverneur,,44.340843,-75.45526,,0,,0,
155597,155597,Price Chopper-Massena,,44.92016,-74.886251,,0,,0,
155562,155562,Price Chopper-Ogdensburg,,44.705161,-75.460464,,0,,0,
155600,155600,Price Chopper-Potsdam,,44.685593,-74.988829,,0,,0,
155605,155605,Rev. Patterson Wound Center-Ogdensburg,,44.707267,-75.461075,,0,,0,
155647,155647,Riverview Motel - Waddington,,44.875161,-75.175501,,0,,0,
155581,155581,Route 68 Deli - Lisbon,,44.671346,-75.384618,,0,,0,
155650,155650,Roxy Theater (Bus Shelter Side) - Potsdam,,44.668619,-74.98553,,0,,0,
155649,155649,Roxy Theater (Theater Side) - Potsdam,,44.66876,-74.985681,,0,,0,
155653,155653,Save-A-Lot-Canton,,44.599234,-75.146731,,0,,0,
155565,155565,Save-A-Lot-Gouverneur,,44.330931,-75.476174,,0,,0,
155579,155579,Save-A-Lot-Ogdensburg,,44.689696,-75.479108,,0,,0,
155595,155595,Save-A-Lot-Potsdam,,44.685218,-74.984891,,0,,0,
156722,156722,Senior Housing-Star Lake,,44.151659,-75.033461,,0,,0,
155591,155591,SH 11C & Brooklyn Road-Lawrenceville,,44.77643,-74.648007,,0,,0,
155632,155632,SH 184 & Plimpton Rd. - Kokomo Corners,,44.560818,-75.459391,,0,,0,
155657,155657,SH 37 & Cemetery Rd - Hammond,,44.402073,-75.728236,,0,,0,
155634,155634,SH 37 & Sand Street Road - Brier HIll,,44.530345,-75.663111,,0,,0,
155590,155590,SH 58 & CR 6 - Edwardsville,,44.5225,-75.593232,,0,,0,
155639,155639,SH 58 & SH 184 - Pope Mills,,44.484841,-75.581458,,0,,0,
155643,155643,SH 812 & Stevenson Road-Kendrew Corners,,44.551189,-75.345933,,0,,0,
155585,155585,SH 812 & US Hwy 11 - Dekalb,,44.464872,-75.33921,,0,,0,
155596,155596,St. Lawrence Centre Mall-Massena,,44.949857,-74.840256,,0,,0,
155602,155602,St. Lawrence Health System Medical Campus - Canton,,44.607446,-75.133014,,0,,0,
155566,155566,St. Peters Square-Ogdensburg,,44.70247,-75.478351,,0,,0,
155631,155631,St. Regis Nursing Home - Massena,,44.923396,-74.885443,,0,,0,
155580,155580,Stewart's - Heuvelton,,44.617798,-75.407109,,0,,0,
155656,155656,Sunoco - Gouverneur,,44.337328,-75.46031,,0,,0,
155563,155563,The Arc - Canton,,44.589952824,-75.179087205,,0,,0,
155584,155584,The Arc - Canton,,44.590005236,-75.179153695,,0,,0,
156729,156729,The Arc - Massena,,44.908859,-74.886476,,0,,0,
155572,155572,Town Office - Dekalb Junction,,44.505418,-75.27432,,0,,0,
156723,156723,Tri-Town IGA-Brasher Falls,,44.807551,-74.773741,,0,,0,
155644,155644,Tru-North Pizza-Flackville,,44.665395,-75.357703,,0,,0,
155627,155627,Twin Leaf Plaza & Diner - Akwesasne,,44.979369,-74.722504,,0,,0,
156724,156724,UB's Mercantile - Oswegatchie,,44.205789,-75.072193,,0,,0,
155608,155608,Urgent Care-Potsdam,,44.674144,-74.973624,,0,,0,
155592,155592,USH 11 & Main St - Richville,,44.408949,-75.400756,,0,,0,
155642,155642,Village Green - Canton,,44.595063,-75.167964,,0,,0,
155609,155609,Village Park-Raymondville,,44.835371,-74.978217,,0,,0,
155610,155610,Walgreens - Ogdensburg,,44.690405,-75.486337,,0,,0,
155641,155641,Walgreens-Potsdam,,44.683659,-74.987778,,0,,0,
155564,155564,Walmart-Massena,,44.922739,-74.878557,,0,,0,
155606,155606,Walmart-Ogdensburg,,44.707728,-75.456867,,0,,0,
155598,155598,Walmart-Potsdam,,44.662018,-75.027282,,0,,0,
155628,155628,Westgate Apts - Canton,,44.592877,-75.183189,,0,,0,
